,,,,,,,,,,,,,,,,,
,Name,Base_price,Body_style,Seats,Base_ Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
,2022 Jaguar XF,61800,Sedan,5,Gasoline,296,9.3,AWD,0,286,37.5,41.5,37.7,54,74,0,796
,2022 Jeep Wrangler Unlimited,46245,SUV,5,Gasoline,285,12.2,4WD,3500,898,42.6,40.9,38.3,55.8,81,0,664
,2022 Jeep Grand Cherokee,52045,SUV,5,Gasoline,293,11.3,AWD,6200,1070,39.9,41.3,38.2,58,87,0,770
,2022 Jeep Cherokee,36445,SUV,5,Gasoline,180,9.8,AWD,4500,702,39.4,41.1,40.3,55.1,59,0,602
,2022 Jeep Compass,29195,SUV,5,Gasoline,177,9.0,FWD,1200,800,39.2,41.2,38.3,55.1,51,0,567
,2022 Jeep Gladiator,50045,Pickup,5,Gasoline,285,12.6,4WD,7650,0,42.8,40.9,38.0,55.7,83,0,661
,2022 Jeep Grand Cherokee L,53545,SUV,6,Gasoline,293,11.3,AWD,6200,490,39.8,41.3,39.4,58,87,0,770
,2022 Jeep Grand Cherokee WK,50945,SUV,5,Gasoline,295,11.3,AWD,6200,1030,39.9,40.4,38.6,58,93,0,823
,2022 Jeep Grand Wagoneer,101495,SUV,7,Gasoline,471,16,AWD,9850,1400,41.3,40.9,42.7,65.2,120,0,750
,2022 Jeep Renegade,33095,SUV,5,Gasoline,177,9.9,AWD,1400,524,41.1,41.2,35.1,55.1,48,0,485
,2022 Jeep Wagoneer,80495,SUV,8,Hybrid,392,13.8,AWD,10000,1400,41.3,40.9,42.7,65.2,120,0.4,867
,2022 Jeep Wrangler,38445,SUV,4,Gasoline,285,11.8,4WD,2000,898,42.6,40.9,35.6,57.4,66,0,559
,2021 Karma Revero,199700,Sedan,4,Hybrid,536,3.9,RWD,0,182,,,,,39,28,428
,2022 Kia Forte,18295,Sedan,4,Gasoline,147,7.6,FWD,0,434,38.8,42.2,35.7,55.3,53,0,697
,2022 Kia Seltos,23595,SUV,5,Gasoline,147,7.7,FWD,0,752,40,41.4,38,54.9,50,0,649
,2022 Kia Sportage,25995,SUV,5,Gasoline,181,9,FWD,2000,798,39.3,41.5,38.2,55.1,62,0,690
,2022 Kia Sorento,34595,SUV,7,Gasoline,191,9.9,AWD,2000,357,40.3,41.4,41.7,58.1,67,0,677
,2022 Kia Soul,21295,Hatchback,5,Gasoline,147,7.9,FWD,0,530,39.9,41.1,38.8,54.7,54,0,684
,2022 Kia Niro,26995,Hatchback,5,Hybrid,139,4.6,FWD,0,635,40.1,41.7,37.4,55.2,45,1.6,978
,2022 Kia Carnival,34795,Van,8,Gasoline,290,10.6,FWD,3500,1139,40.9,40.9,40.5,63.2,72,0,679
,2022 Kia Telluride,46995,SUV,8,Gasoline,291,11.3,AWD,5000,601,39.5,44.1,42.4,61.2,71,0,630
,2022 Kia Ev6,44995,SUV,5,Electric,167,,RWD,1000,690,39,42.4,39,55.6,0,58,373
,2022 Kia Forte 5-Door,22695,Hatchback,5,Gasoline,147,7.1,FWD,0,741,38.8,42.2,35.7,55.3,53,0,746
,2022 Kia K5,29595,Sedan,5,Gasoline,180,8.2,AWD,0,298,40.2,46.1,35.2,56.1,60,0,734
,2022 Kia Rio 5-Door,17395,Hatchback,5,Gasoline,120,7,FWD,0,493,38.9,42.1,33.5,53.3,45,0,643
,2021 Kia Sedona,32295,Van,8,Gasoline,276,11.5,FWD,3500,960,39.8,40.9,41.1,63.1,80,0,696
,2022 Kia Soul EV,42995,Hatchback,5,Electric,134,2,FWD,0,530,39.9,41.1,36.5,54.7,0,39.2,248
,2022 Kia Stinger,50795,Hatchback,5,Gasoline,368,11.9,AWD,0,660,38.3,42.6,36.4,54.8,60,0,504
,2022 Lamborghini Aventador,464009,Coupe,2,Gasoline,730,19.4,AWD,0,,,,0,0,85,0,437
,2022 Lamborghini Huracán,245245,Coupe,2,Gasoline,602,14.2,RWD,0,,,,0,0,80,0,565
,2022 Lamborghini Urus,256986,SUV,5,Gasoline,641,16.9,AWD,2300,616,,,,,85,0,503
,2022 Land Rover Defender ,66100,SUV,5,Gasoline,296,13,AWD,1850,442,40.6,39.1,36.6,56.4,90,0,692
,2022 Land Rover Discovery ,70500,SUV,7,Gasoline,296,13.3,AWD,6600,258,40,39.1,37.4,59.5,90,0,678
,2022 Land Rover Discovery Sport ,52300,SUV,5,Gasoline,246,11.5,AWD,4400,912,39.5,39.1,38.1,55.9,67,0,583
,2022 Land Rover Range Rover HSE ,122500,SUV,5,Hybrid,395,11.9,AWD,7700,1153,39.3,39.9,40.4,59.1,90,0.2,756
,2022 Land Rover Range Rover Evoque ,51300,SUV,5,Gasoline,246,10.5,4WD,4000,612,38.9,40,34.0,55.4,67,0,638
,2022 Land Rover Range Rover Sport ,83800,SUV,5,Hybrid,355,11.3,AWD,7700,780,38.7,39.5,37,59.5,104,0.2,920
,2022 Land Rover Range Rover Velar ,64600,SUV,5,Gasoline,247,10.4,AWD,5300,684,38.2,40.3,37.2,55.6,82,0,788
,2022 Lexus RX 350 ,57500,SUV,5,Gasoline,295,10.8,AWD,3500,453,39.4,44.1,38,57.6,72,0,669
,2022 Lexus NX 250,47400,SUV,5,Gasoline,203,8.5,AWD,2000,643,38.3,41,36.1,54,55,0,647
,2022 Lexus ES 250,46200,Sedan,5,Gasoline,203,8.4,AWD,0,394,37.5,42.4,39.2,54.3,60,0,719
,2022 Lexus ES 300h,51900,Sedan,5,Hybrid,215,5.4,FWD,0,394,37.5,42.4,39.3,54,50,1.6,931
,2022 Lexus ES 350,49900,Sedan,5,Gasoline,302,9.2,FWD,0,394,37.6,42.4,39.2,54.3,60,0,657
,2022 Lexus GX 460,72100,SUV,7,Gasoline,301,14.5,AWD,6500,,38,41.7,34.2,57.3,87,0,602
,2022 Lexus IS 300 F,44100,Sedan,5,Gasoline,241,9.5,RWD,0,310,38.2,44.8,32.2,53.4,66,0,697
,2022 Lexus IS 300 AWD,44950,Sedan,5,Gasoline,260,10.8,AWD,0,310,38.2,44.8,32.2,53.4,66,0,613
,2022 Lexus IS 350 F,54400,Sedan,5,Gasoline,311,10.8,AWD,0,310,38.2,44.8,32.2,53.4,66,0,613
,2022 Lexus IS 500 F ,72900,Sedan,5,Gasoline,472,12,RWD,0,310,38.2,44.8,32.2,53.4,66,0,552
,2022 Lexus LC 500,104000,Coupe,4,Gasoline,471,12.6,RWD,0,153,37.2,42,32.5,49,82,0,650
,2022 Lexus LC 500h,124200,Coupe,4,Hybrid,354,8.2,RWD,0,132,37.2,42,32.5,49,82,1.1,1006
,2021 Lexus LS 500 AWD,105350,Sedan,5,Gasoline,416,11.5,AWD,0,481,37.3,41,38.9,56.4,82,0,713
,2021 Lexus LS 500h AWD,134500,Sedan,5,Hybrid,354,9.2,AWD,0,430,37.3,41,38.9,56.4,84,1.1,913
,2021 Lexus LX 570,112900,SUV,8,Gasoline,383,17,AWD,7000,343,38.3,42.9,34.4,59,93,0,547
,2022 Lexus LX 600,106950,SUV,7,Gasoline,409,12.7,AWD,8000,343,37.8,41.1,36.6,58.9,80,0,630
,2021 Lexus NX 300,44600,SUV,5,Gasoline,235,9.7,AWD,2000,500,38.2,42.8,36.1,55.3,60,0,619
,2021 Lexus NX 300h,47100,SUV,5,Hybrid,194,7.5,AWD,1500,475,37.4,42.8,36.1,55.3,56,1.6,745
,2022 Lexus NX 350,55400,SUV,5,Gasoline,275,9.5,AWD,2000,643,37.1,41,36.1,54,55,0,578
,2022 Lexus NX 350h,49900,SUV,5,Hybrid,239,6,AWD,2000,643,38.3,41,36.1,54,55,1.7,914
,2022 Lexus NX 450h+,59950,SUV,5,Hybrid,302,2.8,AWD,2000,643,38.3,41,36.1,54,55,18.1,835
,2022 Lexus RC 300,64050,Coupe,4,Gasoline,311,10.8,AWD,0,294,37.8,45.4,27.2,50.7,66,0,612
,2022 Lexus RC 350 F,87550,Coupe,4,Gasoline,472,12.2,RWD,0,286,36.5,45.4,27.2,46.1,66,0,540
,2022 Lexus RX 350L,60500,SUV,7,Gasoline,290,11.4,AWD,3500,211,38.7,41.3,30.9,57.7,72,0,630
,2022 Lexus RX 450h,60250,SUV,5,Hybrid,308,7.9,AWD,3500,453,39.4,44.1,38,57.6,65,1.9,823
,2022 Lexus RX 450hL,77550,SUV,6,Hybrid,308,8.2,AWD,3500,212,38.7,41.3,30.9,57.7,65,1.9,789
,2021 Lexus UX 200,38450,SUV,5,Gasoline,168,7.2,FWD,900,487,35.7,42,33.1,52.9,47,0,648
,2022 Lexus UX 250h,40750,SUV,5,Hybrid,181,5.9,AWD,1050,487,35.7,42,33.1,52.9,40,1.4,677
,2022 Lincoln Aviator,70900,SUV,6,Gasoline,400,11.9,AWD,6700,519,40.2,43,39,61.3,76,0,639
,2022 Lincoln Corsair,45600,SUV,5,Gasoline,250,9.8,AWD,0,714,39.5,43.2,38.6,56.3,61,0,622
,2022 Lincoln Nautilus,57300,SUV,5,Gasoline,250,10.7,AWD,3500,1053,39.9,42.8,39.6,59,68,0,636
,2021 Lincoln Navigator,101500,SUV,5,Gasoline,440,13.4,AWD,9200,592,39.5,41.1,39.1,63.7,95,0,707
,2022 Lotus Emira,105000,Coupe,2,Gasoline,360,,RWD,0,151, , , , ,55,0,
,2021 Lotus Evora GT,139900,Coupe,2,Gasoline,416,,RWD,0,160, , , , ,55,0,
,2022 Lucid Air,105000,Sedan,5,Electric,480,,RWD,0,658,39.6,45.4,37.4,54.5,0,112,653
,2021 Maserati Ghibli,91100,Sedan,5,Gasoline,345,11.6,RWD,0,500,38.8,37.7,33.2,56.5,80,0,690
,2021 Maserati Levante,101525,SUV,5,Gasoline,345,13.2,AWD,1500,580, , , , ,80,0,606
,2022 Maserati MC20,255000,Coupe,2,Gasoline,621,12.8,RWD,0,, , , , ,60,0,471
,2021 Maserati Quattroporte,134045,Sedan,5,Gasoline,424,12.6,AWD,0,530,38.6,,,55.3,80,0,637
,2021 Mazda CX-5,30200,SUV,5,Gasoline,187,9.3,AWD,2000,871,39.7,41.0,39.6,54.8,58,0,624
,2021 Mazda CX-30,26100,SUV,5,Gasoline,155,8.6,AWD,0,572,38.1,41.7,36.3,53.6,48,0,558
,2021 Mazda 3,21200,Sedan,5,Gasoline,155,7.7,FWD,0,374,38,42.3,35.1,53.5,50,0,649
,2021 Mazda CX-3,21800,SUV,5,Gasoline,148,8,FWD,0,504,38.4,41.7,35,50.4,48,0,600
,2021 Mazda CX-9,40950,SUV,7,Gasoline,227,10.5,AWD,3500,407,39.3,41,39.4,58.1,74,0,705
,2021 Mazda 3 Sport,22200,Hatchback,5,Gasoline,155,7.8,FWD,0,569,38,42.3,35.1,53.4,50,0,641
,2021 Mazda 6,27850,Sedan,5,Gasoline,187,8.0,FWD,0,416,38.4,42.2,38.7,55.1,62,0,773
,2022 Mazda MX-30,42150,SUV,5,Electric,143,2.6,FWD,950,431,38.6,41.6,30.1,52.7,0,35.5,161
,2021 Mazda MX-5,33300,Convertible,2,Gasoline,181,8.1,RWD,0,130,37.4,43.1,0,0,45,0,556
,2021 McLaren 720S,339146,Coupe,2,Gasoline,720,,RWD,0,360,,,,,72,0,
,2021 McLaren 765LT,430000,Coupe,2,Gasoline,755,16.3,RWD,0,360,,,,,72,0,442
,2022 McLaren Artura,280000,Coupe,2,Hybrid,671,,RWD,0,,,,,,72,7.4,472
,2021 McLaren GT,250000,Coupe,2,Gasoline,612,,RWD,0,570,,,,,72,0,
,2022 Mercedes-Benz GLC,50900,SUV,5,Gasoline,255,10,AWD,3500,550,41.9,40.8,37.3,56.5,66,0,657
,2022 Mercedes-Benz GLE,72600,SUV,5,Gasoline,255,10.9,AWD,7700,630,42.3,40.3,40.9,58.3,85,0,799
,2022 Mercedes-Benz A 220,39500,Sedan,5,Gasoline,188,8.4,AWD,0,420,38.5,41.8,33.9,54,51,0,608
,2022 Mercedes-Benz AMG GT,122100,Hatchback,4,Hybrid,429,10.9,4WD,0,535,38.8, ,,57.2,80,1.0,736
,2021 Mercedes-Benz C 300,52100,Coupe,4,Gasoline,255,8.9,AWD,0,380,38.8,42,32,51.7,66,0,738
,2022 Mercedes-Benz CLA 250,43600,Sedan,5,Gasoline,221,8.6,AWD,0,460,40.3,41.8,33.9,54.0,51,0,594
,2022 Mercedes-Benz CLS 450,84700,Sedan,5,Hybrid,362,9.4,AWD,0,490,40.6,41.9,35.0,56.5,80,1.0,817
,2022 Mercedes-Benz E 350,65700,Sedan,5,Gasoline,255,9.4,AWD,0,540,37.3,41.7,36.2,57.1,66,0,703
,2022 Mercedes-Benz EQS 580,144200,Hatchback,5,Electric,516,2.5,AWD,0,610,40.3,41.7,,57.3,0,107.8,547
,2021 Mercedes-Benz G 550,154900,SUV,5,Gasoline,416,16.2,AWD,0,454,40.4,,,57.4,100,0,616
,2022 Mercedes-Benz GLA 250,42900,SUV,5,Gasoline,221,8.6,AWD,1200,435,40.8,41.1,38.4,54.8,60,0,695
,2022 Mercedes-Benz GLB 250,46700,SUV,5,Gasoline,221,9.2,AWD,1500,560,41.2,41.1,38.1,54.9,60,0,656
,2021 Mercedes-Benz GLC 300,55900,SUV,5,Gasoline,255,10,AWD,3500,500,38.9,40.8,37.2,56.5,66,0,661
,2022 Mercedes-Benz GLE 450,86600,SUV,5,Hybrid,362,10.5,4WD,7700,655,40.2,,,58.5,85,1.0,814
,2022 Mercedes-Benz GLS 450,104700,SUV,7,Hybrid,362,11.0,4WD,7700,355,41.3,40.3,39.5,58.3,90,1.0,818
,2021 Mercedes-Benz Metris Cargo Van,42360,Van,2,Gasoline,208,11.5,RWD,5000,5180,39.6,35.8,0,0,70,0,611
,2021 Mercedes-Benz Metris Passenger Van,50220,Van,7,Gasoline,208,12.1,RWD,5000,1076,39.6,35.8,35.8,64.9,70,0,579
,2021 Mercedes-Benz S 500 ,127200,Sedan,5,Hybrid,429,9.8,AWD,0,510,42.1,41.9,37.3,61.4,76,1.0,774
,2021 Mercedes-Benz Sprinter Cargo Van,48270,Van,2,Diesel,161,,RWD,4000,900,47.3,38.9,0,0,83,0,
,2021 Mercedes-Benz Sprinter Crew Van,57210,Van,5,Diesel,161,,RWD,3400,7400,56.4,38.9,,,83,0,
,2021 Mercedes-Benz Sprinter Passenger Van,65120,Van,12,Diesel,161,,RWD,5000,2200,56.4,38.9,,,83,0,
,2023 MINI 3 Door,24890,Hatchback,4,Gasoline,134,7.7,FWD,0,246,40.3,41.4,30.8,47.8,44,0,570
,2023 MINI 5 Door,26290,Hatchback,5,Gasoline,134,7.7,FWD,0,371,39.9,41.4,32.3,49.6,44,0,570
,2022 MINI Clubman ,33990,SUV,5,Gasoline,189,,AWD,0,360,40.2,41.4,34.3,52.8,50,0,
,2023 MINI Convertible,31690,Convertible,4,Gasoline,134,7.7,FWD,0,,39.8,41.4,30.9,39.7,44,0,570
,2021 MINI Cooper,23490,Hatchback,4,Gasoline,134,7.7,FWD,0,246,40.3,41.4,30.8,47.8,44,0,570
,2022 MINI Countryman,34090,Hatchback,5,Gasoline,134,9.2,AWD,0,360,40.2,41.4,34.3,52.8,61,0,663
,2022 Mitsubishi RVR,23828,SUV,5,Gasoline,148,8.9,FWD,1200,614,39.4,41.6,36.3,55.5,63,0,712
,2022 Mitsubishi Outlander,31998,SUV,7,Gasoline,181,8.9,AWD,2000,332,40.6,41.7,39.9,55.9,55,0,618
,2022 Mitsubishi Eclipse Cross,28598,SUV,5,Gasoline,152,9.3,AWD,2000,640,39.5,40.9,35.3,55.1,60,0,645
,2022 Mitsubishi Mirage,14098,Hatchback,5,Gasoline,78,6.5,FWD,0,484,39,41.7,34.2,51,35,0,535
,2022 Mitsubishi Outlander PHEV,44198,SUV,5,Hybrid,221,3.2,AWD,1500,861,40.6,40.9,37.9,56,43,13.8,470
,2022 Nissan Rogue,28998,SUV,5,Gasoline,181,8.2,FWD,1350,1033,41.1,43.3,38.5,55.9,55,0,673
,2022 Nissan Kicks,20198,Hatchback,5,Gasoline,122,7.2,FWD,1000,716,40.4,43.7,32.4,53.2,41,0,569
,2021 Nissan Qashqai,22198,Hatchback,5,Gasoline,141,9.0,FWD,0,648,39.6,42.8,33.4,55.7,55,0,608
,2022 Nissan Sentra,19498,Sedan,5,Gasoline,149,7.9,FWD,0,405,38.9,44,34.8,54.5,47,0,599
,2022 Nissan Altima,30098,Sedan,5,Gasoline,182,7.9,AWD,0,436,39.2,43.9,35.2,57.1,61,0,770
,2022 Nissan Armada,69198,SUV,8,Gasoline,400,15.4,AWD,8500,470,39.8,41.9,41,63.4,98,0,636
,2022 Nissan Frontier,39998,Pickup,4,Gasoline,310,12.3,4WD,5000,0,39.7,42.3,26.2,52.4,80,0,650
,2021 Nissan GT-R,130998,Coupe,4,Gasoline,565,12.8,AWD,0,249,38.1,44.6,26.4,50,74,0,577
,2022 Nissan LEAF,37498,Hatchback,5,Electric,147,2.1,FWD,0,668,41.1,42.1,33.5,52.5,0,40,243
,2022 Nissan Maxima,41740,Sedan,5,Gasoline,300,9.9,FWD,0,405,35.8,45,34.3,55.7,68,0,685
,2022 Nissan Murano,36498,SUV,5,Gasoline,260,10.4,AWD,1500,908,39.9,40.5,38.7,58.9,72,0,691
,2021 Nissan NV200,27698,Van,2,Gasoline,131,9.5,FWD,1500,3474,41.7,42.6,0,0,55,0,575
,2021 Nissan NV Cargo,37998,Van,2,Gasoline,261,,RWD,6200,6629,42.8,42.0,0,0,106,0,
,2021 Nissan NV Passenger,48898,Van,12,Gasoline,261,,RWD,6200,818,42.8,39.6,33.9,69.2,106,0,
,2022 Nissan Pathfinder,44338,SUV,8,Gasoline,284,10.5,AWD,3500,470,42.3,44.3,35.5,59.6,70,0,665
,2021 Nissan Titan,63698,Pickup,5,Gasoline,400,13.4,4WD,9000,0,41.0,41.8,38.5,63.6,98,0,734
,2021 Nissan Titan XD,67198,Pickup,5,Gasoline,400,,4WD,10800,0,41.0,41.8,38.5,63.6,98,0,734
,2022 Nissan Versa,16798,Sedan,5,Gasoline,122,7.8,FWD,0,416,39.5,44.5,31,53.6,41,0,528
,2021 Polestar 1,197000,Coupe,4,Hybrid,626,3.9,AWD,0,,38,42,20.9,49.7,60,34,671
,2022 Polestar 2,49900,Hatchback,5,Electric,231,2.6,FWD,0,,41.3,42.2,33.9,52.6,0,78,375
,2022 Porsche 718,67100,Coupe,2,Gasoline,300,10.5,RWD,0,425,,,0,0,54,0,514
,2022 Porsche 911,115000,Coupe,4,Gasoline,379,11.6,RWD,0,132,38.4,41.6,,,64,0,552
,2022 Porsche Cayenne,79200,SUV,5,Gasoline,335,11.4,AWD,7700,772,,,,,75,0,658
,2022 Porsche Cayenne Coupé,88900,SUV,4,Gasoline,335,11.4,AWD,7700,625,,,,,75,0,658
,2022 Porsche Macan,58500,SUV,4,Gasoline,261,11.3,AWD,4400,488,,,,,75,0,664
,2022 Porsche Panamera,100600,Hatchback,4,Gasoline,325,10.7,RWD,0,495,38.0,41.9,33.3,51.7,90,0,773
,2022 Porsche Taycan,119900,Wagon,4,Electric,469,3.0,AWD,0,530,,,,,0,93.4,323
,2022 Ram 1500,47445,Pickup,6,Hybrid,305,10.8,RWD,7750,0,40.9,40.9,39.2,65.7,87,0.4,806
,2022 Ram ProMaster Cargo Van,44145,Van,2,Gasoline,280,,FWD,5100,7334,,38.8,0,0,90,0,
,2022 Ram Promaster City,35345,Van,2,Gasoline,178,9.8,FWD,2000,3729,46,40.8,0,0,60,0,612
,2022 Ram ProMaster Window Van,50145,Van,2,Gasoline,280,,FWD,5100,,,38.8,0,0,90,0,
,2022 Ram1500 Classic,37740,Pickup,3,Gasoline,305,11.9,RWD,9150,0,39.9,41.0,0,0,98,0,824
,2022 Ram 2500,54645,Pickup,3,Gasoline,410,,RWD,19800,0,39.8,40.9,0,0,121,0,
,2022 Ram 3500,55645,Pickup,3,Gasoline,410,,RWD,31200,0,39.8,40.9,0,0,121,0,
,2022 Rivian R1S,94000,SUV,7,Electric,,,AWD,0,453,,,,,0,135,483
,2022 Rivian R1T,90000,Pickup,5,Electric,,,AWD,0,0,,,,,0,135,483
,2021 Rolls-Royce Culli,408177,SUV,5,Gasoline,563,16.3,AWD,0,,,,,,100,0,613
,2021 Rolls-Royce Dawn,516895,Convertible,4,Gasoline,563,16.7,RWD,0,294,40.1,41.5,36.9,53.1,82,0,492
,2021 Rolls-Royce Ghost,508361,Sedan,5,Gasoline,563,16.7,RWD,0,490,40.6,41.7,42.3,55.8,83,0,498
,2021 Rolls-Royce Phantom,562790,Sedan,5,Gasoline,563,16.3,RWD,0,548,40.2,40.5,37.3,56.3,100,0,613
,2021 Rolls-Royce Wraith,459784,Coupe,4,Gasoline,624,16.6,RWD,0,470,39.4,41.5,36.9,54.7,83,0,500
,2022 Subaru Crosstrek,23995,SUV,5,Gasoline,152,9.4,AWD,1500,590,39.8,43.1,36.5,55.6,63,0,669
,2022 Subaru Forester,29495,SUV,5,Gasoline,182,8.2,AWD,1500,881,41.2,43.3,39.4,57.2,63,0,769
,2022 Subaru Outback,31195,Wagon,5,Gasoline,182,8.2,AWD,0,920,40.1,42.8,39.5,57.4,70,0,859
,2022 Subaru Ascent,37295,SUV,8,Gasoline,260,10.5,AWD,2000,504,41.3,42.2,38.5,60.4,73,0,696
,2022 Subaru BRZ,29495,Coupe,4,Gasoline,228,10.5,RWD,0,196,37,41.5,29.9,51.7,50,0,476
,2022 Subaru Impreza,21995,Hatchback,5,Gasoline,152,9.0,AWD,0,588,39.8,43.1,36.5,55.6,50,0,556
,2022 Subaru Legacy,26795,Sedan,5,Gasoline,182,7.9,AWD,0,428,39.4,42.8,39.5,57.4,70,0,891
,2021 Subaru WRX,29995,Sedan,5,Gasoline,268,10.0,AWD,0,340,39.8,43.3,35.4,54,60,0,598
,2021 Subaru WRX STI,40395,Sedan,5,Gasoline,310,12.7,AWD,0,340,39.8,43.3,35.4,54,60,0,473
,2022 Tesla Model 3,58610,Sedan,5,Electric,283,1.7,RWD,0,425,39.6,42.7,35.2,54,0,54,423
,2022 Tesla Model Y,75610,SUV,5,Electric,480,1.9,AWD,3501,1926,41,42.7,35.2,52,0,75,525
,2022 Tesla Model S,113600,Hatchback,5,Electric,671,,AWD,0,895,38.8,42.7,35.4,55,0,100,652
,2022 Tesla Model X,123600,SUV,5,Electric,671,,AWD,0,2180,41.7,41.2,38.4,56.8,0,100,580
,2022 Toyota RAV4,28850,SUV,5,Gasoline,203,7.7,FWD,1500,1059,39,40.9,37.8,56.4,55,0,714
,2022 Toyota Corolla,19450,Sedan,5,Gasoline,139,7.1,FWD,0,371,38.3,42.3,34.8,51.7,50,0,704
,2022 Toyota Highlander,44750,SUV,8,Gasoline,295,10.3,AWD,5000,453,41.2,42.0,41.0,58.7,68,0,660
,2022 Toyota Tacoma,40350,Pickup,5,Gasoline,278,11.8,4WD,6400,0,39.7,42.9,32.6,58.9,79,0,669
,2022 Toyota Camry,27750,Sedan,5,Gasoline,203,7.4,FWD,0,428,38.3,42.1,38,55.7,61,0,824
,2022 Toyota Sienna,41050,Van,8,Hybrid,245,6.5,FWD,3500,949,40.1,40.3,40,62.7,68,1.9,1048
,2022 Toyota C-HR,24150,Hatchback,5,Gasoline,144,8.2,FWD,0,547,38.1,43.5,31.7,52.5,50,0,613
,2022 Toyota 4Runner,50570,SUV,7,Gasoline,270,13.8,4WD,5000,255,38.5,41.6,32.9,57.7,87,0,630
,2022 Toyota Tundra,44990,Pickup,5,Gasoline,348,11.8,RWD,12000,0,41,41.2,41.6,63.4,85,0,720
,2022 Toyota Venza,38890,SUV,5,Hybrid,219,6.1,AWD,1000,816,38.6,40.9,37.8,56.9,55,0.9,900
,2021 Toyota Avalon,43350,Sedan,5,Gasoline,301,9.5,FWD,0,456,37.4,42.1,40.3,57.1,60,0,630
,2022 Toyota Camry Hybrid,31290,Sedan,5,Hybrid,208,4.9,FWD,0,428,38.3,42.1,38,55.7,49,1.6,1000
,2022 Toyota Corolla Cross,24890,SUV,5,Gasoline,169,7.3,FWD,1100,,,,,,47,0,644
,2022 Toyota Corolla Hatchback,21450,Hatchback,5,Gasoline,169,7.6,FWD,0,660,38.4,42.0,29.9,45.5,50,0,654
,2022 Toyota Corolla Hybrid,25250,Sedan,5,Hybrid,121,4.5,FWD,0,371,38.3,42.0,34.8,51.7,42,1.3,933
,2022 Toyota GR 86,31490,Coupe,4,Gasoline,228,11.2,RWD,0,177,37.2,41.9,29.9,51.7,50,0,446
,2022 Toyota GR Supra,57170,Coupe,2,Gasoline,255,8.5,RWD,0,290,38.3,42.2,0,0,53,0,627
,2022 Toyota Highlander Hybrid,46750,SUV,8,Hybrid,243,6.7,AWD,3501,453,41.2,42.0,41.0,58.7,64,1.9,955
,2022 Toyota Prius,29350,Hatchback,5,Hybrid,120,4.4,FWD,0,697,39.4,43.2,33.4,53.0,42,1.3,955
,2022 Toyota Prius Prime,33750,Hatchback,5,Hybrid,120,4.3,FWD,0,561,38.6,42.5,36,53.1,42,8.8,977
,2022 Toyota RAV4 Hybrid,33190,SUV,5,Hybrid,219,6.0,AWD,1750,1059,39,40.9,37.8,56.4,55,1.6,917
,2022 Toyota RAV4 Prime,44990,SUV,5,Hybrid,302,2.5,AWD,2500,949,39,40.9,37.8,56.4,55,18.1,911
,2022 Toyota Sequoia,70850,SUV,8,Gasoline,381,16.4,4WD,7100,535,38.3,42.5,38.7,65.5,98,0,596
,2022 Toyota Tundra Hybrid,66390,Pickup,5,Hybrid,473,,4WD,11200,0,41,41.2,41.6,62.4,122,1.8,
,2022 Volkswagen Tiguan,33395,SUV,5,Gasoline,184,9.4,AWD,1500,1064,39.6,40.2,38.7,55.8,60,0,636
,2022 Volkswagen Atlas,40595,SUV,7,Gasoline,235,11.7,AWD,2000,583,41.3,41.7,37.6,60.8,74,0,631
,2022 Volkswagen Jetta,22595,Sedan,5,Gasoline,158,6.8,FWD,0,399,38.5,41.1,37.4,54.0,50,0,735
,2021 Volkswagen Golf,22995,Hatchback,5,Gasoline,147,7.4,FWD,0,578,38.4,41.2,35.6,53.9,50,0,676
,2021 Volkswagen Arteon,52995,Hatchback,5,Gasoline,147,9.9,AWD,0,770,37.7,41.2,40.2,54.7,66,0,670
,2022 Volkswagen Atlas Cross Sport,39495,SUV,5,Gasoline,235,11.7,AWD,2000,1141,39.6,41.7,40.4,60.6,74,0,632
,2022 Volkswagen Golf GTI,31495,Hatchback,5,Gasoline,241,9.1,FWD,0,564,38.4,41.2,35.6,53.9,50,0,549
,2022 Volkswagen Golf R,45995,Hatchback,5,Gasoline,315,9.9,AWD,0,564,38.5,41.2,35.0,57.7,55,0,556
,2021 Volkswagen ID.4,44995,SUV,5,Electric,201,2.4,RWD,2200,858,40.6,41.1,37.6,55.9,0,82,400
,2021 Volkswagen Passat,31995,Sedan,5,Gasoline,174,8.7,FWD,0,450,38.3,42.5,39.1,57.1,70,0,803
,2022 Volkswagen Taos,26695,SUV,5,Gasoline,158,7.6,FWD,1000,790,40.7,40.1,37.9,55.2,50,0,658
,2022 Volvo C40,72600,SUV,5,Electric,402,3.0,AWD,4000,489,41.0,40.9,36.1,56.3,0,78.0,208
,2022 Volvo S60,45550,Sedan,5,Hybrid,247,8.0,FWD,0,392,34.7,42.3,35.2,54.5,60,0.4,752
,2022 Volvo S90,70100,Sedan,5,Hybrid,308,9.1,AWD,0,436,37.8,42.2,40.4,55.4,60,0.4,659
,2022 Volvo V60,51250,Wagon,5,Gasoline,316,9.4,AWD,0,519,39.1,42.3,35.2,54.5,60,0,638
,2022 Volvo V60 Cross Country,51250,Wagon,5,Gasoline,250,9.4,AWD,0,519,37.4,42.3,35.2,54.5,60,0,638
