,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
43,2021 Audi S8,153200,2,5,2,563.0,14.5,1,0.0,354.0,41.4,41.5,44.3,61.1,82.0,0.5,567.0
44,2022 Audi SQ5,66250,1,5,1,349.0,11.2,1,4400.0,757.0,41.7,41.0,37.8,59.1,70.0,0.0,623.0
45,2022 Audi SQ5 Sportback,68450,4,5,1,349.0,11.7,1,4400.0,725.0,41.7,41.0,37.8,59.1,70.0,0.0,600.0
46,2022 Audi SQ7,106900,1,7,1,500.0,13.9,1,7700.0,419.0,42.2,41.7,38.8,61.5,85.0,0.0,610.0
47,2022 Audi SQ8,112400,1,5,1,500.0,13.9,1,7700.0,419.0,41.1,41.7,40.2,58.5,85.0,0.0,610.0
48,2022 Audi TT,59700,3,4,1,228.0,9.3,1,0.0,340.0,39.1,41.1,28.9,47.9,55.0,0.0,589.0
49,2022 Audi TT RS,78900,3,4,1,394.0,10.1,1,0.0,340.0,39.1,41.1,28.9,47.9,55.0,0.0,546.0
50,2022 Audi TT S,70300,3,4,1,288.0,10.0,1,0.0,340.0,39.1,41.1,28.9,47.9,55.0,0.0,550.0
51,2022 Bentley Bentayga,227000,1,5,1,542.0,13.2,1,2000.0,484.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,85.0,0.0,646.0
52,2021 Bentley Continental GT,227290,3,4,1,542.0,12.4,1,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,90.0,0.0,726.0
53,2021 Bentley Flying Spur,215600,2,5,1,542.0,13.7,1,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,90.0,0.0,655.0
54,2022 BMW X3,52990,1,5,1,248.0,9.3,1,4400.0,550.0,41.1,40.3,36.4,56.0,65.0,0.0,699.0
55,2022 BMW X5,77500,1,5,1,335.0,10.4,1,6000.0,650.0,40.7,39.8,37.4,58.1,83.0,0.0,798.0
56,2022 BMW 3 Series,44990,2,5,2,288.0,3.1,3,0.0,481.0,38.7,42.0,35.2,54.6,40.0,12.0,486.0
57,2022 BMW 2 Series,51400,2,5,1,301.0,9.2,1,0.0,430.0,38.2,41.4,34.4,53.1,50.0,0.0,543.0
58,2022 BMW 4 Series,53150,3,4,1,255.0,8.7,1,0.0,340.0,38.0,41.8,34.5,51.0,59.0,0.0,679.0
59,2022 BMW 5 Series,64800,2,5,1,248.0,8.9,1,0.0,530.0,38.8,41.4,36.5,55.9,68.0,0.0,764.0
60,2022 BMW 7 Series,120800,2,5,1,523.0,12.4,1,0.0,515.0,39.7,41.4,38.6,57.8,78.0,0.0,627.0
61,2022 BMW 8 Series,117900,2,5,1,523.0,12.4,1,0.0,440.0,40.6,42.1,36.6,54.6,68.0,0.0,547.0
62,2021 BMW i3,44950,4,4,3,170.0,3.0,3,0.0,0.0,39.6,40.5,31.9,49.2,0.0,42.2,160.0
63,2022 BMW i4,54990,4,5,3,340.0,3.0,3,0.0,283.0,38.2,41.5,34.2,54.3,0.0,83.9,475.0
64,2021 BMW M2,72000,3,4,1,405.0,11.7,3,0.0,390.0,40.1,41.5,33.0,53.4,52.0,0.0,443.0
65,2022 BMW M3,86800,2,5,1,473.0,12.6,3,0.0,368.0,40.6,41.6,35.6,54.6,59.0,0.0,642.4584382871540
66,2022 BMW M4 Convertible,102900,7,4,1,503.0,11.75257731958760,1,0.0,255.0,40.6,41.8,32.5,45.5,59.0,0.0,642.4584382871540
67,2022 BMW M4 Coupe,85100,3,4,1,473.0,11.75257731958760,3,0.0,340.0,40.3,41.7,34.7,51.0,59.0,0.0,642.4584382871540
68,2022 BMW M5,125700,2,5,1,617.0,13.8,1,0.0,530.0,39.2,41.4,36.5,55.9,76.0,0.0,551.0
69,2022 BMW M8 Convertible,167600,7,4,1,617.0,13.8,1,0.0,351.0,38.9,42.1,29.5,45.7,76.0,0.0,551.0
70,2022 BMW M8 Coupe,158100,3,4,1,617.0,13.8,1,0.0,420.0,38.9,42.1,29.5,46.9,76.0,0.0,551.0
71,2022 BMW M8 Gran Coupe,154500,2,5,1,617.0,13.8,1,0.0,440.0,40.6,42.1,36.6,54.6,76.0,0.0,553.0
72,2021 BMW X1,42425,1,5,1,228.0,9.1,1,1100.0,505.0,41.9,40.4,37.0,55.2,61.0,0.0,667.0
73,2022 BMW X2,44950,1,5,1,228.0,8.8,1,1100.0,612.0,39.8,40.3,36.7,53.9,61.0,0.0,693.0
74,2022 BMW X3 M,91000,1,5,1,503.0,14.6,1,4400.0,812.0,40.7,40.3,36.4,56.0,65.0,0.0,445.0
75,2022 BMW X4,56500,1,5,1,248.0,9.3,1,4400.0,671.0,39.5,40.7,35.5,56.0,65.0,0.0,699.0
76,2022 BMW X4 M,95400,1,5,1,503.0,14.6,1,4400.0,525.0,39.5,40.7,35.5,56.0,65.0,0.0,445.0
77,2022 BMW X5 M,133900,1,5,1,617.0,15.7,1,6000.0,960.0,40.7,39.8,37.4,58.1,83.0,0.0,529.0
78,2022 BMW X6,85100,1,5,1,335.0,10.5,1,6000.0,776.0,39.3,40.4,35.7,57.7,83.0,0.0,790.0
79,2022 BMW X6 M,137000,1,5,1,617.0,15.7,1,6000.0,580.0,39.3,40.4,35.7,57.7,83.0,0.0,529.0
80,2022 BMW X7,105000,1,7,1,335.0,11.1,1,6000.0,300.0,41.9,39.8,37.6,58.1,83.0,0.0,748.0
81,2022 BMW Z4,63900,7,2,1,255.0,8.5,3,0.0,281.0,38.9,42.2,0.0,0.0,52.0,0.0,612.0
82,2022 Buick Encore GX,26198,1,5,1,137.0,8.0,2,1000.0,665.0,39.7,40.9,36.0,53.6,50.0,0.0,625.0
83,2022 Buick Envision,35698,1,5,1,228.0,8.9,2,1500.0,714.0,39.6,40.4,39.3,55.9,60.0,0.0,674.0
84,2022 Buick Enclave,48098,1,7,1,310.0,11.3,2,1800.0,668.0,42.6,41.2,38.3,61.7,72.0,0.0,640.0
85,2022 Buick Encore,24998,1,5,1,155.0,8.6,2,1000.0,532.0,39.6,40.8,35.7,52.5,53.0,0.0,616.0
86,2022 Cadillac XT5,44298,1,5,1,235.0,9.5,2,1000.0,850.0,39.7,41.2,39.0,56.3,72.0,0.0,759.0
87,2022 Cadillac Escalade,90498,1,7,1,420.0,14.8,1,8000.0,722.0,42.3,44.5,41.7,64.6,91.0,0.0,615.0
88,2022 Cadillac CT4,37598,2,5,1,235.0,8.7,3,0.0,303.0,38.3,42.4,33.4,53.9,64.0,0.0,736.0
89,2022 Cadillac CT5,41498,2,5,1,237.0,9.0,3,0.0,337.0,39.0,42.4,37.9,55.7,66.0,0.0,733.0
