,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
183,2022 Hyundai Venue,18299,1,5,1,121.0,7.8,2,1100.0,528.0,39.4,41.3,34.3,53.7,45.0,0.0,578.0
184,2022 Hyundai Palisade,41499,1,8,1,291.0,11.1,1,5000.0,509.0,40.7,41.4,42.4,60.8,71.0,0.0,641.0
185,2022 Hyundai Sonata,27449,2,5,1,191.0,7.7,2,0.0,453.0,40.0,46.1,34.8,56.1,60.0,0.0,780.0
186,2022 Hyundai Sonata N,38699,2,5,1,290.0,8.8,2,0.0,453.0,38.4,46.1,34.8,56.1,60.0,0.0,684.0
187,2022 Hyundai Elantra Hybrid,24999,2,5,2,109.0,4.4,2,0.0,402.0,40.6,42.3,38.0,55.6,42.0,1.3,953.0
188,2022 Hyundai Elantra N,37199,2,5,1,286.0,9.5,2,0.0,402.0,38.9,42.3,38.0,55.6,47.0,0.0,496.0
189,2022 Hyundai Elantra N Line,27699,2,5,1,201.0,7.6,2,0.0,402.0,38.9,42.3,38.0,55.6,47.0,0.0,619.0
190,2021 Hyundai Elantra Sedan,17899,2,5,1,147.0,7.8,2,0.0,402.0,40.6,42.3,38.0,55.6,47.0,0.0,599.0
191,2021 Hyundai IONIQ 5 Electric,44999,1,5,3,168.0,11.75257731958760,3,1250.0,770.0,41.2,44.8,39.4,57.9,0.0,58.2,354.0
192,2022 Hyundai IONIQ Hybrid,25649,4,5,2,139.0,4.0,2,0.0,750.0,39.2,42.2,35.7,55.0,45.0,1.6,1138.0
193,2022 Hyundai IONIQ Plug-In Hybrid,32649,4,5,2,164.0,2.0,2,0.0,650.0,39.2,42.2,35.7,55.0,43.0,8.9,954.0
194,2022 Hyundai KONA electric,43899,1,5,3,201.0,2.0,2,1000.0,544.0,39.6,41.5,33.4,54.5,0.0,64.0,415.0
195,2022 Hyundai Kona N,39999,1,5,1,286.0,10.4,2,1100.0,544.0,39.6,41.5,35.2,54.5,50.0,0.0,481.0
196,2021 Hyundai Nexo,71000,1,5,5,160.0,3.8,2,1200.0,839.0,39.4,41.5,38.6,55.5,157.0,1.6,612.0
197,2022 Hyundai Santa Cruz,38499,5,5,1,281.0,10.5,1,5000.0,0.0,40.2,41.4,36.5,56.1,67.0,0.0,636.0
198,2022 Hyundai Sonata Hybrid,40649,2,5,2,192.0,5.0,2,0.0,453.0,38.4,46.1,34.8,56.1,50.0,1.6,1000.0
199,2022 Hyundai Veloster N,37899,4,4,1,275.0,9.6,2,0.0,565.0,38.1,42.6,34.1,54.3,50.0,0.0,522.0
200,Infiniti Q50,44295,2,5,1,300.0,10.8,1,0.0,382.0,40.2,44.5,35.1,56.1,76.0,0.0,704.0
201,Infiniti Q60 Coupe,51095,3,4,1,300.0,10.6,1,0.0,246.0,37.4,43.1,32.4,52.0,76.0,0.0,712.0
202,2022 Infiniti QX50,47995,1,5,1,268.0,9.7,1,1100.0,889.0,41.0,39.6,38.7,56.7,60.0,0.0,620.0
203,2022 Infiniti QX55,51995,1,5,1,268.0,9.5,1,1100.0,761.0,39.9,39.6,38.7,57.1,61.0,0.0,636.0
204,2022 Infiniti QX60,54995,1,7,1,295.0,10.8,1,3500.0,411.0,41.0,44.3,35.7,59.6,74.0,0.0,683.0
205,2022 Infiniti QX80,81695,1,7,1,400.0,15.1,1,8500.0,470.0,39.9,39.6,41.0,63.5,98.0,0.0,649.0
206,2022 Jaguar E-Pace,52500,1,5,1,246.0,10.4,1,4000.0,685.0,38.4,40.6,34.3,55.8,67.0,0.0,644.0
207,2022 Jaguar F-Pace,61600,1,5,1,247.0,9.9,1,5300.0,892.0,37.8,40.3,37.2,55.3,83.0,0.0,838.0
208,2022 Jaguar F-TYPE,85500,3,2,1,444.0,9.2,3,0.0,509.0,36.8,42.8,0.0,0.0,63.0,0.0,685.0
209,2022 Jaguar I-PACE,99800,1,5,3,394.0,3.1,1,1100.0,716.0,39.9,40.9,35.0,54.6,0.0,90.0,377.0
210,2022 Jaguar XF,61800,2,5,1,296.0,9.3,1,0.0,286.0,37.5,41.5,37.7,54.0,74.0,0.0,796.0
211,2022 Jeep Wrangler Unlimited,46245,1,5,1,285.0,12.2,4,3500.0,898.0,42.6,40.9,38.3,55.8,81.0,0.0,664.0
212,2022 Jeep Grand Cherokee,52045,1,5,1,293.0,11.3,1,6200.0,1070.0,39.9,41.3,38.2,58.0,87.0,0.0,770.0
213,2022 Jeep Cherokee,36445,1,5,1,180.0,9.8,1,4500.0,702.0,39.4,41.1,40.3,55.1,59.0,0.0,602.0
214,2022 Jeep Compass,29195,1,5,1,177.0,9.0,2,1200.0,800.0,39.2,41.2,38.3,55.1,51.0,0.0,567.0
215,2022 Jeep Gladiator,50045,5,5,1,285.0,12.6,4,7650.0,0.0,42.8,40.9,38.0,55.7,83.0,0.0,661.0
216,2022 Jeep Grand Cherokee L,53545,1,6,1,293.0,11.3,1,6200.0,490.0,39.8,41.3,39.4,58.0,87.0,0.0,770.0
217,2022 Jeep Grand Cherokee WK,50945,1,5,1,295.0,11.3,1,6200.0,1030.0,39.9,40.4,38.6,58.0,93.0,0.0,823.0
218,2022 Jeep Grand Wagoneer,101495,1,7,1,471.0,16.0,1,9850.0,1400.0,41.3,40.9,42.7,65.2,120.0,0.0,750.0
219,2022 Jeep Renegade,33095,1,5,1,177.0,9.9,1,1400.0,524.0,41.1,41.2,35.1,55.1,48.0,0.0,485.0
220,2022 Jeep Wagoneer,80495,1,8,2,392.0,13.8,1,10000.0,1400.0,41.3,40.9,42.7,65.2,120.0,0.4,867.0
221,2022 Jeep Wrangler,38445,1,4,1,285.0,11.8,4,2000.0,898.0,42.6,40.9,35.6,57.4,66.0,0.0,559.0
222,2021 Karma Revero,199700,2,4,2,536.0,3.9,3,0.0,182.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,39.0,28.0,428.0
223,2022 Kia Forte,18295,2,4,1,147.0,7.6,2,0.0,434.0,38.8,42.2,35.7,55.3,53.0,0.0,697.0
224,2022 Kia Seltos,23595,1,5,1,147.0,7.7,2,0.0,752.0,40.0,41.4,38.0,54.9,50.0,0.0,649.0
225,2022 Kia Sportage,25995,1,5,1,181.0,9.0,2,2000.0,798.0,39.3,41.5,38.2,55.1,62.0,0.0,690.0
226,2022 Kia Sorento,34595,1,7,1,191.0,9.9,1,2000.0,357.0,40.3,41.4,41.7,58.1,67.0,0.0,677.0
227,2022 Kia Soul,21295,4,5,1,147.0,7.9,2,0.0,530.0,39.9,41.1,38.8,54.7,54.0,0.0,684.0
228,2022 Kia Niro,26995,4,5,2,139.0,4.6,2,0.0,635.0,40.1,41.7,37.4,55.2,45.0,1.6,978.0
229,2022 Kia Carnival,34795,6,8,1,290.0,10.6,2,3500.0,1139.0,40.9,40.9,40.5,63.2,72.0,0.0,679.0
230,2022 Kia Telluride,46995,1,8,1,291.0,11.3,1,5000.0,601.0,39.5,44.1,42.4,61.2,71.0,0.0,630.0
231,2022 Kia Ev6,44995,1,5,3,167.0,11.75257731958760,3,1000.0,690.0,39.0,42.4,39.0,55.6,0.0,58.0,373.0
232,2022 Kia Forte 5-Door,22695,4,5,1,147.0,7.1,2,0.0,741.0,38.8,42.2,35.7,55.3,53.0,0.0,746.0
233,2022 Kia K5,29595,2,5,1,180.0,8.2,1,0.0,298.0,40.2,46.1,35.2,56.1,60.0,0.0,734.0
234,2022 Kia Rio 5-Door,17395,4,5,1,120.0,7.0,2,0.0,493.0,38.9,42.1,33.5,53.3,45.0,0.0,643.0
235,2021 Kia Sedona,32295,6,8,1,276.0,11.5,2,3500.0,960.0,39.8,40.9,41.1,63.1,80.0,0.0,696.0
236,2022 Kia Soul EV,42995,4,5,3,134.0,2.0,2,0.0,530.0,39.9,41.1,36.5,54.7,0.0,39.2,248.0
237,2022 Kia Stinger,50795,4,5,1,368.0,11.9,1,0.0,660.0,38.3,42.6,36.4,54.8,60.0,0.0,504.0
238,2022 Lamborghini Aventador,464009,3,2,1,730.0,19.4,1,0.0,0.0,39.89795396419440,41.87605263157890,0.0,0.0,85.0,0.0,437.0
239,2022 Lamborghini Huracán,245245,3,2,1,602.0,14.2,3,0.0,0.0,39.89795396419440,41.87605263157890,0.0,0.0,80.0,0.0,565.0
240,2022 Lamborghini Urus,256986,1,5,1,641.0,16.9,1,2300.0,616.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,85.0,0.0,503.0
241,2022 Land Rover Defender,66100,1,5,1,296.0,13.0,1,1850.0,442.0,40.6,39.1,36.6,56.4,90.0,0.0,692.0
242,2022 Land Rover Discovery,70500,1,7,1,296.0,13.3,1,6600.0,258.0,40.0,39.1,37.4,59.5,90.0,0.0,678.0
243,2022 Land Rover Discovery Sport,52300,1,5,1,246.0,11.5,1,4400.0,912.0,39.5,39.1,38.1,55.9,67.0,0.0,583.0
244,2022 Land Rover Range Rover HSE,122500,1,5,2,395.0,11.9,1,7700.0,1153.0,39.3,39.9,40.4,59.1,90.0,0.2,756.0
245,2022 Land Rover Range Rover Evoque,51300,1,5,1,246.0,10.5,4,4000.0,612.0,38.9,40.0,34.0,55.4,67.0,0.0,638.0
246,2022 Land Rover Range Rover Sport,83800,1,5,2,355.0,11.3,1,7700.0,780.0,38.7,39.5,37.0,59.5,104.0,0.2,920.0
247,2022 Land Rover Range Rover Velar,64600,1,5,1,247.0,10.4,1,5300.0,684.0,38.2,40.3,37.2,55.6,82.0,0.0,788.0
248,2022 Lexus RX 350,57500,1,5,1,295.0,10.8,1,3500.0,453.0,39.4,44.1,38.0,57.6,72.0,0.0,669.0
249,2022 Lexus NX 250,47400,1,5,1,203.0,8.5,1,2000.0,643.0,38.3,41.0,36.1,54.0,55.0,0.0,647.0
250,2022 Lexus ES 250,46200,2,5,1,203.0,8.4,1,0.0,394.0,37.5,42.4,39.2,54.3,60.0,0.0,719.0
251,2022 Lexus ES 300h,51900,2,5,2,215.0,5.4,2,0.0,394.0,37.5,42.4,39.3,54.0,50.0,1.6,931.0
252,2022 Lexus ES 350,49900,2,5,1,302.0,9.2,2,0.0,394.0,37.6,42.4,39.2,54.3,60.0,0.0,657.0
253,2022 Lexus GX 460,72100,1,7,1,301.0,14.5,1,6500.0,0.0,38.0,41.7,34.2,57.3,87.0,0.0,602.0
254,2022 Lexus IS 300 F,44100,2,5,1,241.0,9.5,3,0.0,310.0,38.2,44.8,32.2,53.4,66.0,0.0,697.0
255,2022 Lexus IS 300 AWD,44950,2,5,1,260.0,10.8,1,0.0,310.0,38.2,44.8,32.2,53.4,66.0,0.0,613.0
256,2022 Lexus IS 350 F,54400,2,5,1,311.0,10.8,1,0.0,310.0,38.2,44.8,32.2,53.4,66.0,0.0,613.0
257,2022 Lexus IS 500 F,72900,2,5,1,472.0,12.0,3,0.0,310.0,38.2,44.8,32.2,53.4,66.0,0.0,552.0
258,2022 Lexus LC 500,104000,3,4,1,471.0,12.6,3,0.0,153.0,37.2,42.0,32.5,49.0,82.0,0.0,650.0
259,2022 Lexus LC 500h,124200,3,4,2,354.0,8.2,3,0.0,132.0,37.2,42.0,32.5,49.0,82.0,1.1,1006.0
260,2021 Lexus LS 500 AWD,105350,2,5,1,416.0,11.5,1,0.0,481.0,37.3,41.0,38.9,56.4,82.0,0.0,713.0
261,2021 Lexus LS 500h AWD,134500,2,5,2,354.0,9.2,1,0.0,430.0,37.3,41.0,38.9,56.4,84.0,1.1,913.0
262,2021 Lexus LX 570,112900,1,8,1,383.0,17.0,1,7000.0,343.0,38.3,42.9,34.4,59.0,93.0,0.0,547.0
263,2022 Lexus LX 600,106950,1,7,1,409.0,12.7,1,8000.0,343.0,37.8,41.1,36.6,58.9,80.0,0.0,630.0
264,2021 Lexus NX 300,44600,1,5,1,235.0,9.7,1,2000.0,500.0,38.2,42.8,36.1,55.3,60.0,0.0,619.0
265,2021 Lexus NX 300h,47100,1,5,2,194.0,7.5,1,1500.0,475.0,37.4,42.8,36.1,55.3,56.0,1.6,745.0
266,2022 Lexus NX 350,55400,1,5,1,275.0,9.5,1,2000.0,643.0,37.1,41.0,36.1,54.0,55.0,0.0,578.0
267,2022 Lexus NX 350h,49900,1,5,2,239.0,6.0,1,2000.0,643.0,38.3,41.0,36.1,54.0,55.0,1.7,914.0
268,2022 Lexus NX 450h+,59950,1,5,2,302.0,2.8,1,2000.0,643.0,38.3,41.0,36.1,54.0,55.0,18.1,835.0
269,2022 Lexus RC 300,64050,3,4,1,311.0,10.8,1,0.0,294.0,37.8,45.4,27.2,50.7,66.0,0.0,612.0
270,2022 Lexus RC 350 F,87550,3,4,1,472.0,12.2,3,0.0,286.0,36.5,45.4,27.2,46.1,66.0,0.0,540.0
271,2022 Lexus RX 350L,60500,1,7,1,290.0,11.4,1,3500.0,211.0,38.7,41.3,30.9,57.7,72.0,0.0,630.0
272,2022 Lexus RX 450h,60250,1,5,2,308.0,7.9,1,3500.0,453.0,39.4,44.1,38.0,57.6,65.0,1.9,823.0
273,2022 Lexus RX 450hL,77550,1,6,2,308.0,8.2,1,3500.0,212.0,38.7,41.3,30.9,57.7,65.0,1.9,789.0
274,2021 Lexus UX 200,38450,1,5,1,168.0,7.2,2,900.0,487.0,35.7,42.0,33.1,52.9,47.0,0.0,648.0
275,2022 Lexus UX 250h,40750,1,5,2,181.0,5.9,1,1050.0,487.0,35.7,42.0,33.1,52.9,40.0,1.4,677.0
276,2022 Lincoln Aviator,70900,1,6,1,400.0,11.9,1,6700.0,519.0,40.2,43.0,39.0,61.3,76.0,0.0,639.0
277,2022 Lincoln Corsair,45600,1,5,1,250.0,9.8,1,0.0,714.0,39.5,43.2,38.6,56.3,61.0,0.0,622.0
278,2022 Lincoln Nautilus,57300,1,5,1,250.0,10.7,1,3500.0,1053.0,39.9,42.8,39.6,59.0,68.0,0.0,636.0
279,2021 Lincoln Navigator,101500,1,5,1,440.0,13.4,1,9200.0,592.0,39.5,41.1,39.1,63.7,95.0,0.0,707.0
280,2022 Lotus Emira,105000,3,2,1,360.0,11.75257731958760,3,0.0,151.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,55.0,0.0,642.4584382871540
281,2021 Lotus Evora GT,139900,3,2,1,416.0,11.75257731958760,3,0.0,160.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,55.0,0.0,642.4584382871540
282,2022 Lucid Air,105000,2,5,3,480.0,11.75257731958760,3,0.0,658.0,39.6,45.4,37.4,54.5,0.0,112.0,653.0
283,2021 Maserati Ghibli,91100,2,5,1,345.0,11.6,3,0.0,500.0,38.8,37.7,33.2,56.5,80.0,0.0,690.0
284,2021 Maserati Levante,101525,1,5,1,345.0,13.2,1,1500.0,580.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,80.0,0.0,606.0
285,2022 Maserati MC20,255000,3,2,1,621.0,12.8,3,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,60.0,0.0,471.0
286,2021 Maserati Quattroporte,134045,2,5,1,424.0,12.6,1,0.0,530.0,38.6,41.87605263157890,32.76197916666670,55.3,80.0,0.0,637.0
287,2021 Mazda CX-5,30200,1,5,1,187.0,9.3,1,2000.0,871.0,39.7,41.0,39.6,54.8,58.0,0.0,624.0
288,2021 Mazda CX-30,26100,1,5,1,155.0,8.6,1,0.0,572.0,38.1,41.7,36.3,53.6,48.0,0.0,558.0
289,2021 Mazda 3,21200,2,5,1,155.0,7.7,2,0.0,374.0,38.0,42.3,35.1,53.5,50.0,0.0,649.0
290,2021 Mazda CX-3,21800,1,5,1,148.0,8.0,2,0.0,504.0,38.4,41.7,35.0,50.4,48.0,0.0,600.0
291,2021 Mazda CX-9,40950,1,7,1,227.0,10.5,1,3500.0,407.0,39.3,41.0,39.4,58.1,74.0,0.0,705.0
292,2021 Mazda 3 Sport,22200,4,5,1,155.0,7.8,2,0.0,569.0,38.0,42.3,35.1,53.4,50.0,0.0,641.0
293,2021 Mazda 6,27850,2,5,1,187.0,8.0,2,0.0,416.0,38.4,42.2,38.7,55.1,62.0,0.0,773.0
294,2022 Mazda MX-30,42150,1,5,3,143.0,2.6,2,950.0,431.0,38.6,41.6,30.1,52.7,0.0,35.5,161.0
295,2021 Mazda MX-5,33300,7,2,1,181.0,8.1,3,0.0,130.0,37.4,43.1,0.0,0.0,45.0,0.0,556.0
296,2021 McLaren 720S,339146,3,2,1,720.0,11.75257731958760,3,0.0,360.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,72.0,0.0,642.4584382871540
297,2021 McLaren 765LT,430000,3,2,1,755.0,16.3,3,0.0,360.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,72.0,0.0,442.0
298,2022 McLaren Artura,280000,3,2,2,671.0,11.75257731958760,3,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,72.0,7.4,472.0
299,2021 McLaren GT,250000,3,2,1,612.0,11.75257731958760,3,0.0,570.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,72.0,0.0,642.4584382871540
300,2022 Mercedes-Benz GLC,50900,1,5,1,255.0,10.0,1,3500.0,550.0,41.9,40.8,37.3,56.5,66.0,0.0,657.0
301,2022 Mercedes-Benz GLE,72600,1,5,1,255.0,10.9,1,7700.0,630.0,42.3,40.3,40.9,58.3,85.0,0.0,799.0
302,2022 Mercedes-Benz A 220,39500,2,5,1,188.0,8.4,1,0.0,420.0,38.5,41.8,33.9,54.0,51.0,0.0,608.0
303,2022 Mercedes-Benz AMG GT,122100,4,4,2,429.0,10.9,4,0.0,535.0,38.8,41.87605263157890,32.76197916666670,57.2,80.0,1.0,736.0
304,2021 Mercedes-Benz C 300,52100,3,4,1,255.0,8.9,1,0.0,380.0,38.8,42.0,32.0,51.7,66.0,0.0,738.0
305,2022 Mercedes-Benz CLA 250,43600,2,5,1,221.0,8.6,1,0.0,460.0,40.3,41.8,33.9,54.0,51.0,0.0,594.0
306,2022 Mercedes-Benz CLS 450,84700,2,5,2,362.0,9.4,1,0.0,490.0,40.6,41.9,35.0,56.5,80.0,1.0,817.0
307,2022 Mercedes-Benz E 350,65700,2,5,1,255.0,9.4,1,0.0,540.0,37.3,41.7,36.2,57.1,66.0,0.0,703.0
308,2022 Mercedes-Benz EQS 580,144200,4,5,3,516.0,2.5,1,0.0,610.0,40.3,41.7,32.76197916666670,57.3,0.0,107.8,547.0
309,2021 Mercedes-Benz G 550,154900,1,5,1,416.0,16.2,1,0.0,454.0,40.4,41.87605263157890,32.76197916666670,57.4,100.0,0.0,616.0
310,2022 Mercedes-Benz GLA 250,42900,1,5,1,221.0,8.6,1,1200.0,435.0,40.8,41.1,38.4,54.8,60.0,0.0,695.0
311,2022 Mercedes-Benz GLB 250,46700,1,5,1,221.0,9.2,1,1500.0,560.0,41.2,41.1,38.1,54.9,60.0,0.0,656.0
312,2021 Mercedes-Benz GLC 300,55900,1,5,1,255.0,10.0,1,3500.0,500.0,38.9,40.8,37.2,56.5,66.0,0.0,661.0
313,2022 Mercedes-Benz GLE 450,86600,1,5,2,362.0,10.5,4,7700.0,655.0,40.2,41.87605263157890,32.76197916666670,58.5,85.0,1.0,814.0
314,2022 Mercedes-Benz GLS 450,104700,1,7,2,362.0,11.0,4,7700.0,355.0,41.3,40.3,39.5,58.3,90.0,1.0,818.0
315,2021 Mercedes-Benz Metris Cargo Van,42360,6,2,1,208.0,11.5,3,5000.0,5180.0,39.6,35.8,0.0,0.0,70.0,0.0,611.0
316,2021 Mercedes-Benz Metris Passenger Van,50220,6,7,1,208.0,12.1,3,5000.0,1076.0,39.6,35.8,35.8,64.9,70.0,0.0,579.0
317,2021 Mercedes-Benz S 500,127200,2,5,2,429.0,9.8,1,0.0,510.0,42.1,41.9,37.3,61.4,76.0,1.0,774.0
318,2021 Mercedes-Benz Sprinter Cargo Van,48270,6,2,4,161.0,11.75257731958760,3,4000.0,900.0,47.3,38.9,0.0,0.0,83.0,0.0,642.4584382871540
319,2021 Mercedes-Benz Sprinter Crew Van,57210,6,5,4,161.0,11.75257731958760,3,3400.0,7400.0,56.4,38.9,32.76197916666670,50.65138539042820,83.0,0.0,642.4584382871540
320,2021 Mercedes-Benz Sprinter Passenger Van,65120,6,12,4,161.0,11.75257731958760,3,5000.0,2200.0,56.4,38.9,32.76197916666670,50.65138539042820,83.0,0.0,642.4584382871540
321,2023 MINI 3 Door,24890,4,4,1,134.0,7.7,2,0.0,246.0,40.3,41.4,30.8,47.8,44.0,0.0,570.0
322,2023 MINI 5 Door,26290,4,5,1,134.0,7.7,2,0.0,371.0,39.9,41.4,32.3,49.6,44.0,0.0,570.0
323,2022 MINI Clubman,33990,1,5,1,189.0,11.75257731958760,1,0.0,360.0,40.2,41.4,34.3,52.8,50.0,0.0,642.4584382871540
324,2023 MINI Convertible,31690,7,4,1,134.0,7.7,2,0.0,0.0,39.8,41.4,30.9,39.7,44.0,0.0,570.0
325,2021 MINI Cooper,23490,4,4,1,134.0,7.7,2,0.0,246.0,40.3,41.4,30.8,47.8,44.0,0.0,570.0
326,2022 MINI Countryman,34090,4,5,1,134.0,9.2,1,0.0,360.0,40.2,41.4,34.3,52.8,61.0,0.0,663.0
327,2022 Mitsubishi RVR,23828,1,5,1,148.0,8.9,2,1200.0,614.0,39.4,41.6,36.3,55.5,63.0,0.0,712.0
328,2022 Mitsubishi Outlander,31998,1,7,1,181.0,8.9,1,2000.0,332.0,40.6,41.7,39.9,55.9,55.0,0.0,618.0
329,2022 Mitsubishi Eclipse Cross,28598,1,5,1,152.0,9.3,1,2000.0,640.0,39.5,40.9,35.3,55.1,60.0,0.0,645.0
330,2022 Mitsubishi Mirage,14098,4,5,1,78.0,6.5,2,0.0,484.0,39.0,41.7,34.2,51.0,35.0,0.0,535.0
331,2022 Mitsubishi Outlander PHEV,44198,1,5,2,221.0,3.2,1,1500.0,861.0,40.6,40.9,37.9,56.0,43.0,13.8,470.0
332,2022 Nissan Rogue,28998,1,5,1,181.0,8.2,2,1350.0,1033.0,41.1,43.3,38.5,55.9,55.0,0.0,673.0
333,2022 Nissan Kicks,20198,4,5,1,122.0,7.2,2,1000.0,716.0,40.4,43.7,32.4,53.2,41.0,0.0,569.0
334,2021 Nissan Qashqai,22198,4,5,1,141.0,9.0,2,0.0,648.0,39.6,42.8,33.4,55.7,55.0,0.0,608.0
335,2022 Nissan Sentra,19498,2,5,1,149.0,7.9,2,0.0,405.0,38.9,44.0,34.8,54.5,47.0,0.0,599.0
336,2022 Nissan Altima,30098,2,5,1,182.0,7.9,1,0.0,436.0,39.2,43.9,35.2,57.1,61.0,0.0,770.0
337,2022 Nissan Armada,69198,1,8,1,400.0,15.4,1,8500.0,470.0,39.8,41.9,41.0,63.4,98.0,0.0,636.0
338,2022 Nissan Frontier,39998,5,4,1,310.0,12.3,4,5000.0,0.0,39.7,42.3,26.2,52.4,80.0,0.0,650.0
339,2021 Nissan GT-R,130998,3,4,1,565.0,12.8,1,0.0,249.0,38.1,44.6,26.4,50.0,74.0,0.0,577.0
340,2022 Nissan LEAF,37498,4,5,3,147.0,2.1,2,0.0,668.0,41.1,42.1,33.5,52.5,0.0,40.0,243.0
341,2022 Nissan Maxima,41740,2,5,1,300.0,9.9,2,0.0,405.0,35.8,45.0,34.3,55.7,68.0,0.0,685.0
342,2022 Nissan Murano,36498,1,5,1,260.0,10.4,1,1500.0,908.0,39.9,40.5,38.7,58.9,72.0,0.0,691.0
343,2021 Nissan NV200,27698,6,2,1,131.0,9.5,2,1500.0,3474.0,41.7,42.6,0.0,0.0,55.0,0.0,575.0
344,2021 Nissan NV Cargo,37998,6,2,1,261.0,11.75257731958760,3,6200.0,6629.0,42.8,42.0,0.0,0.0,106.0,0.0,642.4584382871540
345,2021 Nissan NV Passenger,48898,6,12,1,261.0,11.75257731958760,3,6200.0,818.0,42.8,39.6,33.9,69.2,106.0,0.0,642.4584382871540
346,2022 Nissan Pathfinder,44338,1,8,1,284.0,10.5,1,3500.0,470.0,42.3,44.3,35.5,59.6,70.0,0.0,665.0
347,2021 Nissan Titan,63698,5,5,1,400.0,13.4,4,9000.0,0.0,41.0,41.8,38.5,63.6,98.0,0.0,734.0
348,2021 Nissan Titan XD,67198,5,5,1,400.0,11.75257731958760,4,10800.0,0.0,41.0,41.8,38.5,63.6,98.0,0.0,734.0
349,2022 Nissan Versa,16798,2,5,1,122.0,7.8,2,0.0,416.0,39.5,44.5,31.0,53.6,41.0,0.0,528.0
350,2021 Polestar 1,197000,3,4,2,626.0,3.9,1,0.0,0.0,38.0,42.0,20.9,49.7,60.0,34.0,671.0
351,2022 Polestar 2,49900,4,5,3,231.0,2.6,2,0.0,0.0,41.3,42.2,33.9,52.6,0.0,78.0,375.0
352,2022 Porsche 718,67100,3,2,1,300.0,10.5,3,0.0,425.0,39.89795396419440,41.87605263157890,0.0,0.0,54.0,0.0,514.0
353,2022 Porsche 911,115000,3,4,1,379.0,11.6,3,0.0,132.0,38.4,41.6,32.76197916666670,50.65138539042820,64.0,0.0,552.0
354,2022 Porsche Cayenne,79200,1,5,1,335.0,11.4,1,7700.0,772.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,75.0,0.0,658.0
355,2022 Porsche Cayenne Coupé,88900,1,4,1,335.0,11.4,1,7700.0,625.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,75.0,0.0,658.0
356,2022 Porsche Macan,58500,1,4,1,261.0,11.3,1,4400.0,488.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,75.0,0.0,664.0
357,2022 Porsche Panamera,100600,4,4,1,325.0,10.7,3,0.0,495.0,38.0,41.9,33.3,51.7,90.0,0.0,773.0
358,2022 Porsche Taycan,119900,8,4,3,469.0,3.0,1,0.0,530.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,0.0,93.4,323.0
359,2022 Ram 1500,47445,5,6,2,305.0,10.8,3,7750.0,0.0,40.9,40.9,39.2,65.7,87.0,0.4,806.0
360,2022 Ram ProMaster Cargo Van,44145,6,2,1,280.0,11.75257731958760,2,5100.0,7334.0,39.89795396419440,38.8,0.0,0.0,90.0,0.0,642.4584382871540
361,2022 Ram Promaster City,35345,6,2,1,178.0,9.8,2,2000.0,3729.0,46.0,40.8,0.0,0.0,60.0,0.0,612.0
362,2022 Ram ProMaster Window Van,50145,6,2,1,280.0,11.75257731958760,2,5100.0,0.0,39.89795396419440,38.8,0.0,0.0,90.0,0.0,642.4584382871540
363,2022 Ram1500 Classic,37740,5,3,1,305.0,11.9,3,9150.0,0.0,39.9,41.0,0.0,0.0,98.0,0.0,824.0
364,2022 Ram 2500,54645,5,3,1,410.0,11.75257731958760,3,19800.0,0.0,39.8,40.9,0.0,0.0,121.0,0.0,642.4584382871540
365,2022 Ram 3500,55645,5,3,1,410.0,11.75257731958760,3,31200.0,0.0,39.8,40.9,0.0,0.0,121.0,0.0,642.4584382871540
366,2022 Rivian R1S,94000,1,7,3,311.14252336448600,11.75257731958760,1,0.0,453.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,0.0,135.0,483.0
367,2022 Rivian R1T,90000,5,5,3,311.14252336448600,11.75257731958760,1,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,0.0,135.0,483.0
368,2021 Rolls-Royce Culli,408177,1,5,1,563.0,16.3,1,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,100.0,0.0,613.0
369,2021 Rolls-Royce Dawn,516895,7,4,1,563.0,16.7,3,0.0,294.0,40.1,41.5,36.9,53.1,82.0,0.0,492.0
